"Story","Title","Result","Date","Stability","Duration (s)"
"Compra de productos","Compra exitosa de un producto","PENDING","2026-04-14T11:53:28.7348786-05:00[America/Bogota]","0.0","26.5"
"Navegacion por categorías","Navegacion exitosa por categorias","PENDING","2026-04-14T11:04:14.3704988-05:00[America/Bogota]","0.0","55.73"
